Agency,SideID,Date,Discharge cfs,Data Quality,discharge m3/s
USGS,11252275,7/15/16,,,0
USGS,11252275,7/16/16,,,0
USGS,11252275,7/17/16,,,0
USGS,11252275,7/18/16,,,0
USGS,11252275,7/19/16,,,0
USGS,11252275,7/20/16,,,0
USGS,11252275,7/21/16,,,0
USGS,11252275,7/22/16,,,0
USGS,11252275,7/23/16,,,0
USGS,11252275,7/24/16,,,0
USGS,11252275,7/25/16,,,0
USGS,11252275,7/26/16,,,0
USGS,11252275,7/27/16,,,0
USGS,11252275,7/28/16,,,0
USGS,11252275,7/29/16,,,0
USGS,11252275,7/30/16,,,0
USGS,11252275,7/31/16,,,0
USGS,11252275,8/1/16,,,0
USGS,11252275,8/2/16,,,0
USGS,11252275,8/3/16,,,0
USGS,11252275,8/4/16,,,0
USGS,11252275,8/5/16,,,0
USGS,11252275,8/6/16,,,0
USGS,11252275,8/7/16,,,0
USGS,11252275,8/8/16,,,0
USGS,11252275,8/9/16,,,0
USGS,11252275,8/10/16,,,0
USGS,11252275,8/11/16,,,0
USGS,11252275,8/12/16,,,0
USGS,11252275,8/13/16,,,0
USGS,11252275,8/14/16,,,0
USGS,11252275,8/15/16,,,0
USGS,11252275,8/16/16,,,0
USGS,11252275,8/17/16,,,0
USGS,11252275,8/18/16,,,0
USGS,11252275,8/19/16,,,0
USGS,11252275,8/20/16,,,0
USGS,11252275,8/21/16,,,0
USGS,11252275,8/22/16,,,0
USGS,11252275,8/23/16,,,0
USGS,11252275,8/24/16,,,0
USGS,11252275,8/25/16,,,0
USGS,11252275,8/26/16,,,0
USGS,11252275,8/27/16,,,0
USGS,11252275,8/28/16,,,0
USGS,11252275,8/29/16,,,0
USGS,11252275,8/30/16,,,0
USGS,11252275,8/31/16,,,0
USGS,11252275,9/1/16,,,0
USGS,11252275,9/2/16,,,0
USGS,11252275,9/3/16,,,0
USGS,11252275,9/4/16,,,0
USGS,11252275,9/5/16,,,0
USGS,11252275,9/6/16,,,0
USGS,11252275,9/7/16,,,0
USGS,11252275,9/8/16,,,0
USGS,11252275,9/9/16,,,0
USGS,11252275,9/10/16,,,0
USGS,11252275,9/11/16,,,0
USGS,11252275,9/12/16,,,0
USGS,11252275,9/13/16,,,0
USGS,11252275,9/14/16,,,0
USGS,11252275,9/15/16,,,0
USGS,11252275,9/16/16,,,0
USGS,11252275,9/17/16,,,0
USGS,11252275,9/18/16,,,0
USGS,11252275,9/19/16,,,0
USGS,11252275,9/20/16,,,0
USGS,11252275,9/21/16,,,0
USGS,11252275,9/22/16,,,0
USGS,11252275,9/23/16,,,0
USGS,11252275,9/24/16,,,0
USGS,11252275,9/25/16,,,0
USGS,11252275,9/26/16,,,0
USGS,11252275,9/27/16,,,0
USGS,11252275,9/28/16,,,0
USGS,11252275,9/29/16,,,0
USGS,11252275,9/30/16,,,0
USGS,11252275,10/1/16,190,A,5.38023
USGS,11252275,10/2/16,187,A,5.295279
USGS,11252275,10/3/16,180,A,5.09706
USGS,11252275,10/4/16,178,A,5.040426
USGS,11252275,10/5/16,184,A,5.210328
USGS,11252275,10/6/16,191,A,5.408547
USGS,11252275,10/7/16,185,A,5.238645
USGS,11252275,10/8/16,185,A,5.238645
USGS,11252275,10/9/16,188,A,5.323596
USGS,11252275,10/10/16,194,A,5.493498
USGS,11252275,10/11/16,195,A,5.521815
USGS,11252275,10/12/16,189,A,5.351913
USGS,11252275,10/13/16,197,A,5.578449
USGS,11252275,10/14/16,191,A,5.408547
USGS,11252275,10/15/16,191,A,5.408547
USGS,11252275,10/16/16,196,A,5.550132
USGS,11252275,10/17/16,209,A,5.918253
USGS,11252275,10/18/16,206,A,5.833302
